nev,szulhely,szuldatum,email,telefonszam,iranyitoszam,varos,utca,hazszam,nem,allampolgarsag,szemelyi_azonosito,anyja_neve
Juhász Éva,Szeged,2001.11.23.,juhász.éva27@gmail.com,+36351003653,2426,Budapest,Petőfi Sándor utca,109,férfi,magyar,1319701008,Nagy Éva
Mészáros Gábor,Miskolc,2000.01.01.,mészáros.gábor13@gmail.com,+36492071325,1076,Győr,Ady Endre utca,34,nő,magyar,1362843603,Szabó Katalin
Simon Anna,Pécs,2006.06.16.,simon.anna40@gmail.com,+36241467036,9831,Szeged,Ady Endre utca,132,nő,magyar,8685359503,Nagy Éva
Kocsis Péter,Győr,2002.09.29.,kocsis.péter25@outlook.com,+36605326584,5560,Szeged,Fő utca,129,férfi,magyar,7398628805,Nagy Éva
Németh Zoltán,Nyíregyháza,2004.03.30.,németh.zoltán36@outlook.com,+36589298570,5711,Miskolc,Fő utca,18,férfi,magyar,1812542703,Szabó Katalin
Oláh Mária,Kecskemét,1998.05.05.,oláh.mária61@outlook.com,+36259132984,2837,Debrecen,Kossuth Lajos utca,134,nő,magyar,1288819714,Kiss Mária
Major Gábor,Szombathely,2001.12.20.,major.gábor77@outlook.com,+36497452863,1502,Pécs,Kossuth Lajos utca,114,nő,magyar,3488417267,Szabó Katalin
Takács Anna,Szolnok,2003.07.12.,takács.anna3@freemail.hu,+36621167172,9509,Győr,Ady Endre utca,142,férfi,magyar,3484326037,Kiss Mária
Kovács József,Tatabánya,2000.10.10.,kovács.józsef27@freemail.hu,+36345240639,1929,Pécs,Kossuth Lajos utca,64,férfi,magyar,2493532243,Nagy Éva
Szabó Éva,Kaposvár,2002.01.25.,szabó.éva40@freemail.hu,+36563537009,6384,Pécs,Fő utca,135,nő,magyar,1848978550,Nagy Éva
Tóth Gábor,Veszprém,2005.02.14.,tóth.gábor13@outlook.com,+36489022075,6710,Budapest,Petőfi Sándor utca,83,férfi,magyar,8484925902,Szabó Katalin
Nagy Anna,Eger,2006.09.09.,nagy.anna44@outlook.com,+36703390020,6454,Szeged,Petőfi Sándor utca,113,nő,magyar,8840255482,Kiss Mária
Kiss Péter,Zalaegerszeg,1999.04.04.,kiss.péter43@gmail.com,+36392822038,1296,Pécs,Kossuth Lajos utca,144,férfi,magyar,5600606645,Szabó Katalin
Molnár Zoltán,Budapest,2003.08.08.,molnár.zoltán69@freemail.hu,+36703464248,5598,Debrecen,Petőfi Sándor utca,22,férfi,magyar,9395654847,Nagy Éva
Varga Anna,Debrecen,2001.11.11.,varga.anna83@freemail.hu,+36413084967,1092,Pécs,Petőfi Sándor utca,69,nő,magyar,8904767687,Nagy Éva
Horváth Gábor,Szeged,2004.06.06.,horváth.gábor18@freemail.hu,+36658510788,1642,Budapest,Petőfi Sándor utca,12,nő,magyar,6174477993,Kiss Mária
Balogh Anna,Miskolc,2002.02.18.,balogh.anna25@freemail.hu,+36516330431,3267,Debrecen,Petőfi Sándor utca,39,nő,magyar,3464619079,Szabó Katalin
Farkas Péter,Pécs,2005.05.05.,farkas.péter19@outlook.com,+36282648725,4686,Budapest,Fő utca,138,férfi,magyar,2620623396,Nagy Éva
Papp Éva,Győr,2000.03.03.,papp.éva50@gmail.com,+36562565985,2801,Debrecen,Petőfi Sándor utca,23,férfi,magyar,9071468021,Nagy Éva
Lakatos Gábor,Nyíregyháza,2003.07.07.,lakatos.gábor32@outlook.com,+36662542817,3457,Debrecen,Petőfi Sándor utca,143,férfi,magyar,3095499462,Nagy Éva
Juhász Anna,Kecskemét,2006.10.10.,juhász.anna91@freemail.hu,+36625543601,5271,Budapest,Petőfi Sándor utca,39,férfi,magyar,6962997637,Nagy Éva
Mészáros Péter,Szombathely,2002.04.04.,mészáros.péter60@gmail.com,+36226242438,9146,Győr,Petőfi Sándor utca,90,nő,magyar,4134181548,Nagy Éva
Simon Éva,Szolnok,1998.09.09.,simon.éva12@outlook.com,+36483064675,4845,Pécs,Petőfi Sándor utca,127,nő,magyar,3800037806,Nagy Éva
Kocsis Gábor,Tatabánya,2001.01.01.,kocsis.gábor86@freemail.hu,+36612763031,2170,Budapest,Petőfi Sándor utca,22,férfi,magyar,7947289603,Nagy Éva
Németh Anna,Kaposvár,2005.12.12.,németh.anna14@gmail.com,+36636498531,7876,Pécs,Kossuth Lajos utca,125,nő,magyar,6211996063,Kiss Mária
Oláh Péter,Veszprém,2000.06.06.,oláh.péter69@outlook.com,+36347119507,1159,Budapest,Fő utca,89,nő,magyar,9790005683,Nagy Éva
Major Éva,Eger,2003.03.03.,major.éva59@freemail.hu,+36543586171,1241,Győr,Ady Endre utca,129,nő,magyar,5626574681,Nagy Éva
Takács Gábor,Zalaegerszeg,2004.04.04.,takács.gábor25@outlook.com,+36543412841,1401,Pécs,Fő utca,59,nő,magyar,6363005614,Kiss Mária
Kovács Anna,Budapest,2006.06.06.,kovács.anna51@outlook.com,+36266365247,7404,Győr,Fő utca,85,nő,magyar,8306827187,Nagy Éva
Szabó Péter,Debrecen,2001.08.08.,szabó.péter72@gmail.com,+36589041880,8001,Budapest,Petőfi Sándor utca,55,férfi,magyar,9931064968,Szabó Katalin
Tóth Éva,Szeged,2002.02.02.,tóth.éva39@gmail.com,+36346659969,8454,Budapest,Fő utca,50,férfi,magyar,8942593237,Szabó Katalin
Nagy Gábor,Miskolc,2003.03.03.,nagy.gábor76@outlook.com,+36511652435,4685,Pécs,Kossuth Lajos utca,148,nő,magyar,6481234231,Kiss Mária
Kiss Anna,Pécs,2004.04.04.,kiss.anna22@outlook.com,+36702108123,2511,Debrecen,Kossuth Lajos utca,142,férfi,magyar,5913782302,Szabó Katalin
Molnár Péter,Győr,2005.05.05.,molnár.péter56@gmail.com,+36415432245,2292,Győr,Kossuth Lajos utca,126,férfi,magyar,5146333449,Szabó Katalin
Varga Éva,Nyíregyháza,2000.06.06.,varga.éva56@gmail.com,+36536449553,9698,Miskolc,Fő utca,37,nő,magyar,7255449138,Nagy Éva
Horváth Gábor,Kecskemét,2001.07.07.,horváth.gábor91@gmail.com,+36397053251,2463,Pécs,Kossuth Lajos utca,116,nő,magyar,9404468363,Kiss Mária
Balogh Anna,Szombathely,2002.08.08.,balogh.anna66@outlook.com,+36314231533,8271,Budapest,Fő utca,2,férfi,magyar,5577124820,Szabó Katalin
Farkas Péter,Szolnok,2003.09.09.,farkas.péter89@outlook.com,+36499489753,4534,Győr,Petőfi Sándor utca,55,nő,magyar,1900487675,Szabó Katalin
Papp Éva,Tatabánya,2004.10.10.,papp.éva22@outlook.com,+36354244835,5800,Győr,Petőfi Sándor utca,8,férfi,magyar,5722323903,Nagy Éva
Lakatos Gábor,Kaposvár,2005.11.11.,lakatos.gábor20@gmail.com,+36482127876,7529,Miskolc,Fő utca,16,férfi,magyar,2055639610,Kiss Mária
Juhász Anna,Veszprém,2006.12.12.,juhász.anna43@gmail.com,+36263457870,4217,Győr,Fő utca,58,nő,magyar,4282285155,Szabó Katalin
Mészáros Péter,Eger,2000.01.13.,mészáros.péter55@gmail.com,+36214458500,8982,Budapest,Kossuth Lajos utca,97,nő,magyar,8653676118,Szabó Katalin
Simon Éva,Zalaegerszeg,2001.02.14.,simon.éva82@gmail.com,+36265450478,1517,Szeged,Fő utca,120,nő,magyar,4807344607,Kiss Mária
Kocsis Gábor,Budapest,2002.03.15.,kocsis.gábor34@outlook.com,+36317893432,6425,Miskolc,Fő utca,100,nő,magyar,6987569868,Szabó Katalin
Németh Anna,Debrecen,2003.04.16.,németh.anna60@outlook.com,+36693720455,9660,Pécs,Kossuth Lajos utca,21,férfi,magyar,4355381792,Nagy Éva
Oláh Péter,Szeged,2004.05.17.,oláh.péter79@gmail.com,+36616470738,2559,Budapest,Fő utca,63,férfi,magyar,8391602031,Szabó Katalin
Major Éva,Miskolc,2005.06.18.,major.éva84@freemail.hu,+36239087576,8767,Győr,Fő utca,60,nő,magyar,2904285685,Kiss Mária
Takács Gábor,Pécs,2006.07.19.,takács.gábor33@freemail.hu,+36529898848,7214,Győr,Fő utca,114,férfi,magyar,6657167274,Kiss Mária
Kovács Anna,Győr,2000.08.20.,kovács.anna91@freemail.hu,+36424988225,9449,Szeged,Ady Endre utca,65,férfi,magyar,4802064057,Nagy Éva
Szabó Péter,Nyíregyháza,2001.09.21.,szabó.péter54@gmail.com,+36222760163,4804,Debrecen,Fő utca,90,férfi,magyar,9959156990,Kiss Mária
Tóth Éva,Kecskemét,2002.10.22.,tóth.éva58@gmail.com,+36674245521,3157,Debrecen,Ady Endre utca,14,férfi,magyar,7464625150,Kiss Mária
Nagy Gábor,Szombathely,2003.11.23.,nagy.gábor70@outlook.com,+36663774475,3609,Miskolc,Fő utca,65,nő,magyar,9719793033,Nagy Éva
Kiss Anna,Szolnok,2004.12.24.,kiss.anna42@outlook.com,+36217649810,7073,Pécs,Ady Endre utca,90,férfi,magyar,3546959230,Nagy Éva
Molnár Péter,Tatabánya,2005.01.25.,molnár.péter64@outlook.com,+36693789326,4909,Budapest,Kossuth Lajos utca,79,férfi,magyar,8092031979,Kiss Mária
Varga Éva,Kaposvár,2006.02.26.,varga.éva58@outlook.com,+36553412871,6968,Debrecen,Fő utca,135,nő,magyar,3941342023,Szabó Katalin
Horváth Gábor,Veszprém,2000.03.27.,horváth.gábor29@outlook.com,+36244441515,2767,Miskolc,Kossuth Lajos utca,124,nő,magyar,8423206675,Szabó Katalin
Balogh Anna,Eger,2001.04.28.,balogh.anna5@gmail.com,+36343748820,5548,Szeged,Ady Endre utca,133,nő,magyar,4956814996,Szabó Katalin
Farkas Péter,Zalaegerszeg,2002.05.29.,farkas.péter62@gmail.com,+36488840081,2277,Szeged,Ady Endre utca,74,nő,magyar,5325625011,Kiss Mária
Papp Éva,Budapest,2003.06.30.,papp.éva57@freemail.hu,+36324180197,9342,Győr,Fő utca,117,nő,magyar,2075685115,Kiss Mária
Lakatos Gábor,Debrecen,2004.07.01.,lakatos.gábor3@outlook.com,+36614349978,7770,Szeged,Petőfi Sándor utca,65,nő,magyar,8772253052,Kiss Mária
Juhász Anna,Szeged,2005.08.02.,juhász.anna95@outlook.com,+36467143616,3113,Budapest,Kossuth Lajos utca,41,nő,magyar,3586543396,Kiss Mária
Mészáros Péter,Miskolc,2006.09.03.,mészáros.péter91@outlook.com,+36427673560,9690,Pécs,Fő utca,31,nő,magyar,2292291094,Kiss Mária
Simon Éva,Pécs,2000.10.04.,simon.éva43@outlook.com,+36396533467,4546,Pécs,Fő utca,24,nő,magyar,4317036376,Kiss Mária
Kocsis Gábor,Győr,2001.11.05.,kocsis.gábor71@outlook.com,+36245003522,5557,Pécs,Ady Endre utca,6,nő,magyar,4030634601,Nagy Éva
Németh Anna,Nyíregyháza,2002.12.06.,németh.anna88@outlook.com,+36249967947,7382,Győr,Petőfi Sándor utca,69,nő,magyar,4439019577,Szabó Katalin
Oláh Péter,Kecskemét,2003.01.07.,oláh.péter7@outlook.com,+36494809598,6088,Miskolc,Petőfi Sándor utca,78,férfi,magyar,6042228516,Nagy Éva
Major Éva,Szombathely,2004.02.08.,major.éva56@outlook.com,+36358982585,4027,Szeged,Ady Endre utca,76,nő,magyar,2097031184,Nagy Éva
Takács Gábor,Szolnok,2005.03.09.,takács.gábor88@outlook.com,+36651006073,6186,Győr,Kossuth Lajos utca,134,férfi,magyar,1326262670,Nagy Éva
